fold,f1_baseline,f1_candidate,delta
0,0.727273,0.733138,+0.005865
1,0.651466,0.670968,+0.019502
2,0.697674,0.699670,+0.001996
3,0.701299,0.715655,+0.014356
4,0.670423,0.674221,+0.003798
5,0.668896,0.668896,+0.000000
6,0.697531,0.704819,+0.007288
7,0.724551,0.735905,+0.011354
8,0.691358,0.704403,+0.013044
9,0.672619,0.676647,+0.004028
10,0.735484,0.746753,+0.011269
11,0.693009,0.697248,+0.004239
12,0.666667,0.670659,+0.003992
13,0.704478,0.700297,-0.004181
14,0.666667,0.681529,+0.014862
15,0.705167,0.711656,+0.006489
16,0.700599,0.706949,+0.006350
17,0.733945,0.733333,-0.000612
18,0.666667,0.681529,+0.014862
19,0.652174,0.658307,+0.006133
20,0.758209,0.758209,+0.000000
21,0.632530,0.648485,+0.015955
22,0.683706,0.683706,+0.000000
23,0.711656,0.709480,-0.002176
24,0.677316,0.692063,+0.014747
25,0.690323,0.690323,+0.000000
26,0.709877,0.712074,+0.002198
27,0.683230,0.691358,+0.008128
28,0.676737,0.688822,+0.012085
29,0.706587,0.710843,+0.004257
30,0.705521,0.707317,+0.001796
31,0.691358,0.699690,+0.008332
32,0.716049,0.717791,+0.001742
33,0.683230,0.675241,-0.007989
34,0.668731,0.664615,-0.004115
35,0.717647,0.721408,+0.003761
36,0.687307,0.697248,+0.009941
37,0.684039,0.686275,+0.002235
38,0.690323,0.690096,-0.000227
39,0.682353,0.688427,+0.006074
40,0.677019,0.691358,+0.014339
41,0.685358,0.689655,+0.004297
42,0.727273,0.734940,+0.007667
43,0.685535,0.689873,+0.004339
44,0.689024,0.686930,-0.002094
45,0.710843,0.719512,+0.008669
46,0.652568,0.656535,+0.003967
47,0.636086,0.642424,+0.006339
48,0.734568,0.743902,+0.009335
49,0.728477,0.734426,+0.005949
